epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
56,92.762,1.07779,0.60429,1.10571,0.99224,0.97143,0.98154,0.64143,1.31165,0.63218,1.1116,0.0015644,0.0015644,0.0015644
57,94.3869,1.09296,0.61261,1.09959,0.99463,1,0.995,0.62624,1.34298,0.58834,1.11394,0.00155648,0.00155648,0.00155648
58,96.0082,1.05257,0.6068,1.07159,0.99744,1,0.995,0.67267,1.20304,0.475,1.06875,0.00154856,0.00154856,0.00154856
59,97.6445,1.07222,0.59673,1.11137,1,0.99748,0.995,0.69077,1.13441,0.46742,1.05204,0.00154064,0.00154064,0.00154064
60,99.2684,1.06178,0.60066,1.0894,0.99949,1,0.995,0.69903,1.08481,0.48636,1.02657,0.00153272,0.00153272,0.00153272
61,100.895,1.06615,0.5961,1.11476,0.9983,1,0.995,0.69252,1.12464,0.48739,1.04199,0.0015248,0.0015248,0.0015248
62,102.516,1.04722,0.56398,1.08821,0.97042,1,0.99444,0.69063,1.12625,0.48769,1.03774,0.00151688,0.00151688,0.00151688
63,104.14,1.0952,0.58027,1.13292,0.97092,1,0.995,0.69784,1.11138,0.44354,1.01412,0.00150896,0.00150896,0.00150896
64,105.768,1.05206,0.56745,1.06484,0.97486,1,0.995,0.69018,1.08433,0.43609,1.02602,0.00150104,0.00150104,0.00150104
65,107.4,1.09067,0.57254,1.1224,0.96985,1,0.99278,0.69036,1.10434,0.45056,1.0342,0.00149312,0.00149312,0.00149312
66,109.034,1.08101,0.58,1.11949,0.96998,1,0.995,0.69267,1.12069,0.44313,1.01873,0.0014852,0.0014852,0.0014852
67,110.676,1.0761,0.57883,1.10383,0.96837,1,0.96972,0.65874,1.18532,0.50419,1.06279,0.00147728,0.00147728,0.00147728
68,112.318,1.05798,0.54346,1.07538,0.9722,0.99927,0.96889,0.65958,1.14288,0.46757,1.03996,0.00146936,0.00146936,0.00146936
69,113.945,1.08262,0.57751,1.0992,0.97032,1,0.96889,0.68978,1.07887,0.45488,1.01316,0.00146144,0.00146144,0.00146144
70,115.569,1.06129,0.6333,1.12114,0.97026,1,0.96806,0.68967,1.07916,0.46775,1.02042,0.00145352,0.00145352,0.00145352
71,117.198,1.08324,0.57072,1.13557,0.97036,1,0.96736,0.691,1.10815,0.47533,1.03397,0.0014456,0.0014456,0.0014456
72,118.819,1.06393,0.57114,1.10327,0.97047,1,0.96889,0.68756,1.09426,0.4339,1.01624,0.00143768,0.00143768,0.00143768
73,120.448,1.14167,0.58592,1.13884,0.9704,1,0.98806,0.68479,1.13743,0.44904,1.03014,0.00142976,0.00142976,0.00142976
74,122.078,1.05862,0.55851,1.07972,0.97026,1,0.98722,0.69575,1.10053,0.4517,1.02316,0.00142184,0.00142184,0.00142184
75,123.704,1.11511,0.55907,1.11765,0.96988,1,0.98083,0.69975,1.09937,0.45485,1.0259,0.00141392,0.00141392,0.00141392
76,125.337,1.12153,0.59892,1.12292,0.97021,1,0.96736,0.6749,1.11965,0.45733,1.0211,0.001406,0.001406,0.001406
77,126.976,1.06589,0.57018,1.09692,0.97022,1,0.96736,0.7054,1.07447,0.46566,0.99567,0.00139808,0.00139808,0.00139808
78,128.61,1.0751,0.56285,1.09146,0.96985,1,0.96736,0.69577,1.08772,0.45939,1.00303,0.00139016,0.00139016,0.00139016
79,130.245,1.08556,0.54744,1.09871,0.96983,1,0.96736,0.65899,1.17435,0.49213,1.05395,0.00138224,0.00138224,0.00138224
80,131.876,1.13407,0.57947,1.17748,0.96992,1,0.96736,0.64464,1.24731,0.50383,1.04326,0.00137432,0.00137432,0.00137432
81,133.504,1.14827,0.56819,1.12004,0.9699,1,0.96736,0.65274,1.19339,0.51639,1.0854,0.0013664,0.0013664,0.0013664
82,135.129,1.0726,0.5554,1.11589,0.96964,1,0.96736,0.67622,1.07925,0.4831,1.003,0.00135848,0.00135848,0.00135848
83,136.755,1.17728,0.58352,1.22558,0.96935,1,0.96736,0.66805,1.10229,0.46864,1.00878,0.00135056,0.00135056,0.00135056
84,138.382,1.12978,0.57256,1.10404,0.96983,1,0.96736,0.64464,1.16644,0.48779,1.0472,0.00134264,0.00134264,0.00134264
85,140.004,1.05415,0.5275,1.06642,0.97023,1,0.96736,0.66887,1.17424,0.46929,1.03755,0.00133472,0.00133472,0.00133472
86,141.632,1.05586,0.53016,1.09317,0.97067,1,0.96736,0.672,1.1271,0.4574,1.02654,0.0013268,0.0013268,0.0013268
87,143.256,1.08758,0.5395,1.09094,0.97036,1,0.96736,0.62735,1.23617,0.46596,1.07241,0.00131888,0.00131888,0.00131888
88,144.874,1.05391,0.5314,1.11525,0.88043,1,0.9334,0.66126,1.13534,0.56511,1.03497,0.00131096,0.00131096,0.00131096
89,146.491,1.05752,0.53538,1.07861,0.72019,1,0.72946,0.49934,1.12679,0.85012,1.04248,0.00130304,0.00130304,0.00130304
